company,sentence,predicted_esg,semantic_score,human_label,final_esg_prediction,sentiment,sentiment_score,topic,topic_keywords
sap-2023-integrated-report.pdf,"we report on our contribution to the un sustainable development goals (sdgs) and have embedded the recommended disclosures of the task force on climate-related financial disclosures (tcfd), of the sustainability accounting standards board (sasb) standards, and of the world economic forum (wef) stakeholder capitalism metrics.",E,0.441977944,G,G,neutral,0.8202716112136841,25,disclosures | financial | tcfd | task | force
sap-2023-integrated-report.pdf,any further deviations for the sustainability reporting are specifically mentioned in the respective chapters.,E,0.3633584,G,G,neutral,0.8315969705581665,13,report | nonfinancial | sustainability | reporting | gri
sap-2023-integrated-report.pdf,our executive management has confirmed the effectiveness of our internal controls over financial reporting.,G,0.306832302,G,G,positive,0.8662558197975159,-1,and | the | of | in | to
sap-2023-integrated-report.pdf,"we apply the gri principles (sustainability context, stakeholder inclusiveness, materiality, and completeness) for defining report content.",E,0.31904298,G,G,neutral,0.9257524013519287,13,report | nonfinancial | sustainability | reporting | gri
sap-2023-integrated-report.pdf,independent audit and assurance bdo ag wirtschaftsprüfungsgesellschaft (bdo) has audited our consolidated financial statements and our combined management report.,G,0.299842149,G,G,neutral,0.8857306838035583,19,assurance | independent | limited | nonfinancial | auditors
sap-2023-integrated-report.pdf,information relating to the non-financial statement included in sap’s management report has been audited with limited assurance by bdo.,G,0.328843593,G,G,neutral,0.9257946014404297,19,assurance | independent | limited | nonfinancial | auditors
sap-2023-integrated-report.pdf,"the independent auditor’s report and the assurance reports of bdo for the non-financial statement and selected sustainability information are available in the independent auditor’s report section, in the independent auditor’s report on a limited assurance engagement of the combined non-financial statement, and in the independent auditor’s report on a limited assurance engagement on sustainability information section.",G,0.313465297,G,G,neutral,0.9500434398651123,19,assurance | independent | limited | nonfinancial | auditors
sap-2023-integrated-report.pdf,"our sustainability offering enables customers to systematically track key metrics, including carbon emissions, and to take effective action.",E,0.381569564,E,E,positive,0.7459946870803833,39,carbon | footprints | track | committed | own
sap-2023-integrated-report.pdf,"in 2023, sap achieved carbon neutrality in its own operations and continues to focus on achieving net zero by 2030 along our value chain.",E,0.433251287,E,E,positive,0.7810966968536377,0,zero | net | roadmap | by | emissions
sap-2023-integrated-report.pdf,"roughly 1,000 new customers chose sap’s sustainability solutions in 2023 alone.",E,0.360156617,E,E,positive,0.7405582666397095,-1,and | the | of | in | to
sap-2023-integrated-report.pdf,"on behalf of the entire executive board, i would like to thank all sap colleagues for these excellent achievements in a challenging environment.",G,0.260203032,S,G,positive,0.8246909379959106,22,sap | supervisory | board | meetings | ifrs
sap-2023-integrated-report.pdf,"i would like to thank you, dear fellow shareholders, for your trust in sap in 2023 – and i am excited about the great opportunities and promising future that lie ahead.",G,0.300997436,S,G,positive,0.7960313558578491,22,sap | supervisory | board | meetings | ifrs
sap-2023-integrated-report.pdf,"10/324 [page 11] sap integrated report 2023 to our combined management consolidated financial further information about additional stakeholders report statements ifrs sustainability information sap stock versus major indices (january 2, 2023, to december 29, 2023) sap stock (xetra) dax40 performanceindex (xetra) nasdaq-100 index 160% 150% 140% 130% 120% 110% 100% 90% jan feb mar apr may jun jul jul aug sep oct nov dec 1.",G,0.291660756,G,G,neutral,0.9453517198562622,22,sap | supervisory | board | meetings | ifrs
sap-2023-integrated-report.pdf,"throughout the year, members of the executive board of sap se and the investor relations (ir) team discussed our latest strategy, its execution and business development, and how sap was helping customers meet the many challenges faced by companies today, with institutional investors, analysts, and private investors worldwide.",G,0.294331729,G,G,positive,0.7187791466712952,22,sap | supervisory | board | meetings | ifrs
sap-2023-integrated-report.pdf,"we continued our dialogue with investors, focusing on environmental, social, and governance (esg) topics and providing them with insights into our sustainability policies and products.",E,0.344601988,G,G,positive,0.7730374932289124,7,esg | sustainability | degree | framework | 2050
sap-2023-integrated-report.pdf,sap’s leadership in this area has been recognized by leading sustainability rating organizations.,E,0.32601287,G,G,positive,0.8737285137176514,-1,and | the | of | in | to
sap-2023-integrated-report.pdf,shareholders 11/324 [page 12] sap integrated report 2023 to our combined management consolidated financial further information about additional stakeholders report statements ifrs sustainability information can reach the ir team directly by telephone hotline and by e-mail at investor@sap.com.,G,0.262976019,S,G,neutral,0.9499799609184265,22,sap | supervisory | board | meetings | ifrs
sap-2023-integrated-report.pdf,"14/324 [page 15] sap integrated report 2023 to our combined management consolidated financial further information about additional stakeholders report statements ifrs sustainability information report by the supervisory board dear shareholders, in the following, we would like to inform you about the work of the supervisory board in the fiscal year 2023.",G,0.313040673,G,G,neutral,0.9491446614265442,22,sap | supervisory | board | meetings | ifrs
sap-2023-integrated-report.pdf,"collaboration between the supervisory board and the executive board in the past fiscal year, the supervisory board of sap se discharged the duties imposed on it by the law and by the company’s articles of incorporation.",G,0.409050732,G,G,neutral,0.8841954469680786,22,sap | supervisory | board | meetings | ifrs
